Panel,Group,Method,ID Acc,BreastMRI_fpr95,BreastMRI_aupr,BreastMRI_auroc,MCND_fpr95,MCND_aupr,MCND_auroc,SARAircraft_fpr95,SARAircraft_aupr,SARAircraft_auroc,NewFUSAR_fpr95,NewFUSAR_aupr,NewFUSAR_auroc,OpenSARUrban_fpr95,OpenSARUrban_aupr,OpenSARUrban_auroc,CADCardiac_fpr95,CADCardiac_aupr,CADCardiac_auroc,Avg_fpr95,Avg_aupr,Avg_auroc
OCTDL,嫁接前,Softmax,,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接前,Re-EDL,,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接前,HEDL,,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接前,RS-NN,,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,Softmax (SWA-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,Softmax (Hy-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,Softmax (Mamba-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,Re-EDL (Mamba-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,HEDL (Mamba-G),,,,,,,,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,RS-NN (Mamba-G),,,,,,,,,,,,,,,,,,,,,,
