Panel,Group,Method,ID Acc,BreastMRI_fpr95,BreastMRI_aupr,BreastMRI_auroc,MCND_fpr95,MCND_aupr,MCND_auroc,SARAircraft_fpr95,SARAircraft_aupr,SARAircraft_auroc,NewFUSAR_fpr95,NewFUSAR_aupr,NewFUSAR_auroc,Avg_fpr95,Avg_aupr,Avg_auroc
OCTDL,嫁接前,Re-EDL,87.14±2.58,100.00±0.00,79.17±1.62,65.10±2.32,99.96±0.06,54.48±2.22,59.92±1.02,99.97±0.07,63.25±1.97,63.57±2.08,99.96±0.05,57.67±3.81,63.24±3.36,99.97±0.06,63.64±9.83,62.96±3.01
OCTDL,嫁接前,HEDL,70.95±2.22,82.70±34.59,44.41±26.89,28.28±35.87,91.74±11.97,11.46±9.52,38.57±32.54,91.77±10.71,7.95±3.70,29.60±26.98,85.56±19.66,5.54±3.52,38.18±33.46,87.94±21.82,17.34±21.42,33.66±32.72
OCTDL,嫁接前,RS-NN,85.56±2.63,99.86±0.27,70.62±14.24,61.85±13.10,99.96±0.05,34.04±12.87,59.89±5.93,99.79±0.14,46.39±19.84,62.90±9.96,98.20±1.46,31.07±11.65,69.37±6.92,99.45±1.04,45.53±21.62,63.50±10.06
OCTDL,嫁接前,I-EDL,,,,,,,,,,,,,,,,
OCTDL,嫁接前,DUQ,,,,,,,,,,,,,,,,
OCTDL,嫁接前,MC-Dropout,,,,,,,,,,,,,,,,
OCTDL,嫁接前,Deep Ensembles,,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Hyena-50,Deep Ensembles (Hy-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,Re-EDL (Mamba-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,HEDL (Mamba-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,RS-NN (Mamba-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,,,,
OCTDL,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接前,Re-EDL,94.86±2.16,23.33±26.04,98.27±1.83,97.25±3.14,53.26±23.85,72.52±13.89,88.56±7.00,9.34±10.63,91.97±6.75,98.68±1.48,41.66±33.26,76.77±16.68,92.06±7.60,31.90±30.00,84.88±15.56,94.14±6.79
BreastMRI,嫁接前,HEDL,62.03±17.59,1.59±3.17,99.53±0.95,99.50±1.00,47.67±11.91,21.88±11.38,70.17±9.10,21.23±12.13,24.71±14.12,88.60±6.70,16.09±12.94,38.75±8.14,92.23±6.39,21.64±19.86,46.22±32.97,87.63±12.62
BreastMRI,嫁接前,RS-NN,95.54±1.99,45.24±28.19,97.34±1.61,95.19±3.04,61.11±27.70,60.58±25.90,85.84±8.18,29.54±23.99,90.82±6.11,96.22±2.78,55.54±28.00,80.79±11.96,92.98±3.86,47.86±29.57,82.38±20.16,92.56±6.41
BreastMRI,嫁接前,I-EDL,,,,,,,,,,,,,,,,
BreastMRI,嫁接前,DUQ,,,,,,,,,,,,,,,,
BreastMRI,嫁接前,MC-Dropout,,,,,,,,,,,,,,,,
BreastMRI,嫁接前,Deep Ensembles,,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,Re-EDL (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,HEDL (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,RS-NN (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Hyena-50,Re-EDL (Hy-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Hyena-50,HEDL (Hy-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Hyena-50,RS-NN (Hy-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,,,,
BreastMRI,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,,,,
