Panel,Group,Method,ID Acc,SVHN_fpr95,SVHN_aupr,SVHN_auroc,DTD_fpr95,DTD_aupr,DTD_auroc,Places365_fpr95,Places365_aupr,Places365_auroc,Avg_fpr95,Avg_aupr,Avg_auroc
CIFAR-10,嫁接前,Re-EDL,97.52±0.13,19.95±9.00,86.97±6.86,95.05±2.56,26.34±10.88,98.11±0.87,92.89±2.89,57.10±5.11,41.06±3.30,75.18±2.44,34.46±18.39,75.38±25.08,87.71±9.28
CIFAR-10,嫁接前,HEDL,78.12±8.38,93.22±7.18,33.28±13.07,51.53±16.98,78.62±18.11,92.18±3.69,70.60±12.77,77.54±14.53,50.54±15.24,73.40±12.15,83.12±15.75,58.67±27.39,65.18±17.15
CIFAR-10,嫁接前,RS-NN,97.31±0.33,41.11±12.57,47.74±13.09,76.71±12.31,17.33±4.66,94.81±2.46,89.44±3.83,28.26±10.44,48.35±15.07,84.00±8.01,28.90±13.81,63.63±24.92,83.38±10.20
CIFAR-10,嫁接前,I-EDL,,,,,,,,,,,,,
CIFAR-10,嫁接前,DUQ,,,,,,,,,,,,,
CIFAR-10,嫁接前,MC-Dropout,,,,,,,,,,,,,
CIFAR-10,嫁接前,Deep Ensembles,,,,,,,,,,,,,
CIFAR-10,嫁接后 SWA-50,Re-EDL (SWA-G),70.21±2.59,94.69±1.17,58.56±4.65,68.29±3.51,92.06±3.33,89.91±1.99,61.94±6.13,82.41±4.26,44.48±5.23,71.43±4.12,89.72±6.17,64.32±19.45,67.22±6.15
CIFAR-10,嫁接后 SWA-50,HEDL (SWA-G),65.90±3.55,97.19±1.81,22.39±3.16,37.08±9.00,88.22±3.73,91.35±1.29,66.74±4.47,79.57±11.34,48.64±9.39,72.91±8.60,88.33±10.02,54.12±29.00,58.91±17.41
CIFAR-10,嫁接后 SWA-50,RS-NN (SWA-G),75.04±2.54,89.50±1.42,55.90±6.04,71.95±1.86,81.91±6.16,92.46±1.63,70.72±6.16,78.56±3.73,47.61±5.86,74.98±2.80,83.33±6.24,65.32±20.10,72.55±4.43
CIFAR-10,嫁接后 SWA-50,I-EDL (SWA-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 SWA-50,DUQ (SWA-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 SWA-50,MC-Dropout (SWA-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 SWA-50,Deep Ensembles (SWA-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Hyena-50,Re-EDL (Hy-G),69.17±1.35,94.42±1.46,62.71±1.38,70.42±2.21,92.12±4.08,89.18±2.70,61.42±7.25,87.63±4.07,33.57±3.53,65.00±4.02,91.39±4.44,61.82±22.87,65.61±6.18
CIFAR-10,嫁接后 Hyena-50,HEDL (Hy-G),68.10±2.12,98.78±0.63,22.90±4.26,35.31±9.10,89.13±4.84,89.55±2.76,62.51±8.81,79.54±4.40,44.92±6.79,71.39±4.66,89.15±8.72,52.46±28.16,56.40±17.21
CIFAR-10,嫁接后 Hyena-50,RS-NN (Hy-G),70.67±1.96,89.58±3.32,38.50±3.74,65.37±3.43,88.83±3.61,90.40±1.48,64.64±5.22,86.63±2.61,35.26±2.47,67.66±3.26,88.35±3.45,54.72±25.41,65.89±4.27
CIFAR-10,嫁接后 Hyena-50,I-EDL (Hy-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Hyena-50,DUQ (Hy-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Hyena-50,MC-Dropout (Hy-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Hyena-50,Deep Ensembles (Hy-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Mamba-2,Re-EDL (Mamba-G),76.19±3.67,90.22±2.62,68.87±5.16,76.19±2.04,83.97±10.73,92.23±3.06,70.35±9.39,78.26±9.62,45.68±9.49,73.76±6.20,84.15±9.77,68.93±20.08,73.43±7.02
CIFAR-10,嫁接后 Mamba-2,HEDL (Mamba-G),64.71±3.44,96.35±3.72,24.48±3.40,41.94±8.59,87.31±13.32,88.92±3.76,60.36±12.00,88.22±4.19,36.28±6.12,64.23±5.50,90.63±9.28,49.89±28.39,55.51±13.31
CIFAR-10,嫁接后 Mamba-2,RS-NN (Mamba-G),76.70±3.14,90.15±3.03,32.81±1.56,60.97±2.37,83.55±5.94,86.57±1.09,63.21±4.70,83.02±3.07,28.83±1.22,66.81±1.74,85.57±5.34,49.41±26.36,63.66±4.01
CIFAR-10,嫁接后 Mamba-2,I-EDL (Mamba-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Mamba-2,DUQ (Mamba-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Mamba-2,MC-Dropout (Mamba-G),,,,,,,,,,,,,
CIFAR-10,嫁接后 Mamba-2,Deep Ensembles (Mamba-G),,,,,,,,,,,,,
